company_name,segment,city,website,contact_name,contact_email,linkedin,current_site_issue,suggested_angle,status,sent_at,reply,next_action
,salon,,,,,,,,not_sent,,,
,salon,,,,,,,,not_sent,,,
,ambulancia,,,,,,,,not_sent,,,
,ambulancia,,,,,,,,not_sent,,,
,fyzioterapeut,,,,,,,,not_sent,,,
,fyzioterapeut,,,,,,,,not_sent,,,
,remeselnik,,,,,,,,not_sent,,,
,remeselnik,,,,,,,,not_sent,,,
,lokalna_sluzba,,,,,,,,not_sent,,,
,lokalna_sluzba,,,,,,,,not_sent,,,
,lokalna_sluzba,,,,,,,,not_sent,,,
,lokalna_sluzba,,,,,,,,not_sent,,,
,freelancer_weby,,,,,,,,not_sent,,,
,freelancer_weby,,,,,,,,not_sent,,,
,freelancer_weby,,,,,,,,not_sent,,,
,freelancer_weby,,,,,,,,not_sent,,,
,mala_agentura,,,,,,,,not_sent,,,
,mala_agentura,,,,,,,,not_sent,,,
,mala_agentura,,,,,,,,not_sent,,,
,mala_agentura,,,,,,,,not_sent,,,
